,Qtr,StateAbbreviation,Deaths,Cases,UnemploymentRate(%),Personal_Income_Change,GDP_growth_rate,State,Mask,Cases_p,Deaths_p,CFR,CFR_p
50,2019Q3,WY,0,0,,3.2,4.2,Wyoming,"No, nan",49708,522,,1.0999999999999999
51,2019Q4,AK,0,0,8.898850574712645,2.3,-0.5,Alaska,"No, nan",51785,220,,0.4
52,2019Q4,AL,0,0,2.897014925373134,2.4,1.3,Alabama,"Yes, 07/16/2020",424028,6121,,1.4000000000000001
53,2019Q4,AR,0,0,3.750222222222222,2.3,1.9,Arkansas,"Yes, 07/20/2020",272263,4343,,1.6
54,2019Q4,AZ,0,0,6.017777777777778,4.8,4.9,Arizona,"No, nan",679282,11265,,1.7000000000000002
55,2019Q4,CA,0,0,4.525287356321839,6.1,6.6,California,"Yes, 07/18/2020",3032007,33742,,1.0999999999999999
56,2019Q4,CO,0,0,2.441145833333333,1.9,2.5,Colorado,"Yes, 07/17/2020",378311,5462,,1.4000000000000001
57,2019Q4,CT,0,0,3.204166666666667,3.0,1.9,Connecticut,"Yes, 04/17/2020",230125,6670,,2.9000000000000004
58,2019Q4,DC,0,0,,3.2,2.7,District of Columbia,"Yes, 07/22/2020",34033,857,,2.5
59,2019Q4,DE,0,0,3.7222222222222223,2.7,1.7,Delaware,"Yes, 09/16/2020",70910,1016,,1.4000000000000001
60,2019Q4,FL,0,0,3.0502487562189056,3.7,3.4,Florida,"No, nan",1579273,24273,,1.5
61,2019Q4,GA,0,0,3.40146750524109,2.8,1.6,Georgia,"No, nan",796307,11967,,1.5
62,2019Q4,HI,0,0,2.658333333333333,3.6,2.7,Hawaii,"Yes, 03/16/2020",24424,319,,1.3
63,2019Q4,IA,0,0,2.478666666666667,0.4,-1.3,Iowa,"Yes, 11/17/2020",306082,4324,,1.4000000000000001
64,2019Q4,ID,0,0,3.06969696969697,4.6,5.6,Idaho,"No, nan",155641,1609,,1.0
65,2019Q4,IL,0,0,3.9617647058823526,1.9,-0.2,Illinois,"Yes, 6/26/2020",1074719,20119,,1.9
66,2019Q4,IN,0,0,2.980434782608696,2.9,1.9,Indiana,"Yes, 07/27/2020",595760,9340,,1.6
67,2019Q4,KS,0,0,2.669206349206349,3.1,2.4,Kansas,"Yes, 07/02/2020",262519,3525,,1.3
68,2019Q4,KY,0,0,4.644722222222222,3.2,2.3,Kentucky,"Yes, 07/09/2020",331982,3462,,1.0
69,2019Q4,LA,0,0,5.791666666666667,4.6,1.4,Louisiana,"Yes, 07/11/2020",369951,8253,,2.1999999999999997
70,2019Q4,MA,0,0,2.6619047619047618,1.9,0.4,Massachusetts,"Yes, 05/06/2020",473441,13705,,2.9000000000000004
71,2019Q4,MD,0,0,3.5472222222222225,3.5,2.8,Maryland,"Yes, 07/31/2020",328417,6596,,2.0
72,2019Q4,ME,0,0,2.9916666666666667,3.7,3.4,Maine,"Yes, 05/01/2020",33876,514,,1.5
73,2019Q4,MI,0,0,4.121686746987952,3.3,0.9,Michigan,"Yes, 10/05/2020",583846,14677,,2.5
74,2019Q4,MN,0,0,3.6011494252873564,2.5,2.4,Minnesota,"Yes, 07/25/2020",447417,6007,,1.3
75,2019Q4,MO,0,0,3.4089855072463764,2.5,1.8,Missouri,"No, nan",469352,6655,,1.4000000000000001
76,2019Q4,MS,0,0,6.108943089430894,2.5,2.9,Mississippi,"No, nan",253932,5524,,2.1999999999999997
77,2019Q4,MT,0,0,3.4708333333333337,4.1,3.5,Montana,"Yes, 07/15/2020",89584,1093,,1.2
78,2019Q4,NC,0,0,3.832,3.7,2.7,North Carolina,"Yes, 06/24/2020",676315,8131,,1.2
79,2019Q4,ND,0,0,2.310691823899371,0.6,-0.2,North Dakota,"Yes, 11/14/2020",95956,1406,,1.5
80,2019Q4,NE,0,0,2.7845878136200715,2.9,4.1,Nebraska,"No, nan",182393,1896,,1.0
81,2019Q4,NH,0,0,2.2233333333333336,1.7,-0.5,New Hampshire,"Yes, 11/20/2020",57864,933,,1.6
82,2019Q4,NJ,0,0,3.8269841269841267,2.5,1.5,New Jersey,"Yes, 07-08-2020",631074,20458,,3.2
83,2019Q4,NM,0,0,5.028282828282828,2.7,1.7,New Mexico,"Yes, 05/16/2020",164263,2960,,1.7999999999999998
84,2019Q4,NV,0,0,3.1941176470588237,4.5,2.7,Nevada,"Yes, 06/24/2020",262880,3784,,1.4000000000000001
85,2019Q4,NY,0,0,4.197849462365591,2.8,1.3,New York,"Yes, 04/17/2020",1256228,40753,,3.2
86,2019Q4,OH,0,0,4.1875,3.0,1.5,Ohio,"Yes, 07/23/2020",831066,10281,,1.2
87,2019Q4,OK,0,0,3.5372294372294375,1.0,-2.6,Oklahoma,"No, nan",356816,2994,,0.8
88,2019Q4,OR,0,0,3.4675925925925926,5.8,4.9,Oregon,"Yes, 07/01/2020",133851,1811,,1.4000000000000001
89,2019Q4,PA,0,0,4.906467661691543,3.2,1.4,Pennsylvania,"Yes, 07/01/2020",776490,19390,,2.5
90,2019Q4,PR,0,0,10.602564102564102,,,Puerto Rico,"No, nan",121554,1703,,1.4000000000000001
91,2019Q4,RI,0,0,2.8733333333333335,3.9,2.3,Rhode Island,"Yes, 05-08-2020",104443,2005,,1.9
92,2019Q4,SC,0,0,2.8036231884057967,4.0,2.7,South Carolina,"No, nan",391464,6248,,1.6
93,2019Q4,SD,0,0,3.7944444444444443,2.6,2.4,South Dakota,"No, nan",105659,1667,,1.6
94,2019Q4,TN,0,0,3.7343859649122804,2.8,-0.1,Tennessee,"No, nan",674915,8350,,1.2
95,2019Q4,TX,0,0,3.391338582677165,3.1,0.7,Texas,"Yes, 07/03/2020",2138574,32858,,1.5
96,2019Q4,UT,0,0,2.8701149425287356,5.4,4.0,Utah,"Yes, 11/09/2020",324919,1500,,0.5
97,2019Q4,VA,0,0,2.8506265664160404,3.8,2.7,Virginia,"Yes, 05/26/2020",446550,5739,,1.3
98,2019Q4,VT,0,0,2.3023809523809526,1.7,0.9,Vermont,"Yes, 08/01/2020",10220,163,,1.6
99,2019Q4,WA,0,0,5.148717948717948,4.4,2.9,Washington,"Yes, 06/26/2020",293739,3974,,1.4000000000000001
100,2019Q4,WI,0,0,3.3699074074074074,3.5,2.9,Wisconsin,"Yes, 08/01/2020",569335,5930,,1.0
101,2019Q4,WV,0,0,5.787878787878788,-1.1,-4.9,West Virginia,"Yes, 06/06/2020",109809,1784,,1.6
102,2019Q4,WY,0,0,3.508695652173913,0.9,-0.2,Wyoming,"No, nan",49708,522,,1.0999999999999999
103,2020Q1,AK,2,133,9.789655172413793,-0.3,-6.0,Alaska,"No, nan",51785,220,1.5,0.4
104,2020Q1,AL,14,999,3.5318407960199005,6.3,-3.2,Alabama,"Yes, 07/16/2020",424028,6121,1.4000000000000001,1.4000000000000001
105,2020Q1,AR,8,564,5.162222222222222,4.4,-4.0,Arkansas,"Yes, 07/20/2020",272263,4343,1.4000000000000001,1.6
106,2020Q1,AZ,24,1298,6.948888888888889,5.5,-3.2,Arizona,"No, nan",679282,11265,1.7999999999999998,1.7000000000000002
107,2020Q1,CA,184,8583,6.504597701149425,4.5,-4.3,California,"Yes, 07/18/2020",3032007,33742,2.1,1.0999999999999999
108,2020Q1,CO,69,2990,4.0015624999999995,6.2,-1.3,Colorado,"Yes, 07/17/2020",378311,5462,2.3,1.4000000000000001
109,2020Q1,CT,69,3128,4.0874999999999995,2.4,-6.0,Connecticut,"Yes, 04/17/2020",230125,6670,2.1999999999999997,2.9000000000000004
110,2020Q1,DC,9,495,,6.1,-1.2,District of Columbia,"Yes, 07/22/2020",34033,857,1.7999999999999998,2.5
111,2020Q1,DE,10,319,4.655555555555555,4.2,-11.4,Delaware,"Yes, 09/16/2020",70910,1016,3.1,1.4000000000000001
112,2020Q1,FL,85,6742,3.7895522388059706,5.7,-4.3,Florida,"No, nan",1579273,24273,1.3,1.5
113,2020Q1,GA,126,4116,4.285324947589098,5.6,-4.0,Georgia,"No, nan",796307,11967,3.1,1.5
114,2020Q1,GU,2,139,,,,Guam,,8454,129,1.4000000000000001,1.5
115,2020Q1,HI,1,224,2.7416666666666667,1.7,-8.9,Hawaii,"Yes, 03/16/2020",24424,319,0.4,1.3
116,2020Q1,IA,7,498,3.559333333333333,4.8,-2.0,Iowa,"Yes, 11/17/2020",306082,4324,1.4000000000000001,1.4000000000000001
117,2020Q1,ID,9,526,4.0204545454545455,6.7,-1.9,Idaho,"No, nan",155641,1609,1.7000000000000002,1.0
